Porifera			
			
		Collotheca	ornata
		Collotheca	pelagica
		Collotheca	quadrilobata
		Collotheca	quadrinodosa
		Collotheca	sessilis
		Collotheca	spinata
		Collotheca	stephanochaeta
		Collotheca	tenuilobata
		Collotheca	torquilobata
		Collotheca	trifidlobata
		Collotheca	trilobata
		Stephanoceros	
		Stephanoceros	fimbriatus
	Atrochidae		
		Cupelopagis	
		Cupelopagis	vorax
		Atrochus	
		Atrochus	tentaculatus
	Ploimida		
	Epiphanidae		
		Proalides	
		Proalides	tentaculatus
		Epiphanes	
		Epiphanes	brachionus
		Epiphanes	clavatula
		Epiphanes	senta
		Cyrtonia	
		Cyrtonia	tuba
		Rhinoglena	
		Rhinoglena	frontalis
		Micrococides	
		Micrococides	chlaena
		Micrococides	robustus
	Brachionidae		
		Platyias	
		Platyias	quadricornis
		Brachionus	
		Brachionus	angularis
		Brachionus	calyciflorus
		Brachionus	leydigi
		Brachionus	patulus
		Brachionus	plicatilis
		Brachionus	quadridentatus
		Brachionus	urceolaris
		Keratella	
		Keratella	cochlearis
		Keratella	cruciformis
		Keratella	irregularis
		Keratella	quadrata
		Keratella	serrulata
		Keratella	testudo
		Keratella	ticinensis
		Keratella	valga
		Notholca	
		Notholca	acuminata
		Notholca	bipalium
		Notholca	cinetura
		Notholca	foliacea
		Notholca	labis
		Notholca	squamula
		Notholca	striata
		Kellicottia	
		Kellicottia	longispina
		Anuraeopsis	
		Anuraeopsis	fissa
	Euchlanidae		
		Beauchampiella	
		Beauchampiella	eudactylota
		Euchlanis	
		Euchlanis	deflexa
		Euchlanis	dilatata
		Euchlanis	incisa
		Euchlanis	lyra
		Euchlanis	meneta
		Euchlanis	oropha
		Euchlanis	parva
		Euchlanis	pyriformis
		Euchlanis	triquetra
		Diplois	
		Diplois	daviesiae
		Tripleuchlanis	
		Tripleuchlanis	plicata
		Dipleuchlanis	
		Dipleuchlanis	propatula
	Mytilinidae		
		Mytilina	
		Mytilina	compressa
		Mytilina	crassipes
		Mytilina	mucronata
		Mytilina	mutica
		Mytilina	trigona
		Mytilina	unguipes
		Mytilina	ventralis
		Lophocharis	
		Lophocharis	oxysternon
		Lophocharis	salpina
	Trichotridae		
		Wolga	
		Wolga	spinifera
		Trichotria	
		Trichotria	pocillum
		Trichotria	tetractis
		Trichotria	truncata
		Macrochaetus	
		Macrochaetus	collinsi
		Macrochaetus	subquadratus
	Colurellidae		
		Colurella	
		Colurella	adriatica
		Colurella	colurus
		Colurella	dicentra
		Colurella	hindenburgi
		Colurella	obtusa
		Colurella	sinistra
		Colurella	tessellata
		Colurella	uncinata
		Paracolurella	
		Paracolurella	pertyi
		Squatinella	
		Squatinella	bifurca
		Squatinella	leydigi
		Squatinella	longispinata
		Squatinella	microdactyla
		Squatinella	mutica
		Squatinella	rostrum
		Lepadella	
		Lepadella (Lepadella)	
		Lepadella (Lepadella)	acuminata
		Lepadella (Lepadella)	cristata
		Lepadella (Lepadella)	minuta
		Lepadella (Lepadella)	ovalis
		Lepadella (Lepadella)	patella
		Lepadella (Lepadella)	pterygoides
		Lepadella (Lepadella)	rhomboides
		Lepadella (Lepadella)	triptera
		Lepadella (Heterolepadella)	
		Lepadella (Heterolepadella)	ehrenbergi
	Lecanidae		
		Lecane	
		Lecane (Lecane)	
		Lecane (Lecane)	aquila
		Lecane (Lecane)	brachydactyla
		Lecane (Lecane)	clara
		Lecane (Lecane)	flexilis
		Lecane (Lecane)	hornemanni
		Lecane (Lecane)	inermis
		Lecane (Lecane)	levistyla
		Lecane (Lecane)	ligona
		Lecane (Lecane)	ludwigi
		Lecane (Lecane)	luna
		Lecane (Lecane)	pumila
		Lecane (Lecane)	signifera
		Lecane (Lecane)	stichaea
		Lecane (Lecane)	stokesi
		Lecane (Lecane)	sulcata
		Lecane (Lecane)	ungulata
		Lecane (Hemimonostyla)	
		Lecane (Hemimonostyla)	agilis
		Lecane (Monostyla)	
		Lecane (Monostyla)	acus
		Lecane (Monostyla)	arcuata
		Lecane (Monostyla)	bifurca
		Lecane (Monostyla)	bulla
		Lecane (Monostyla)	closterocerca
		Lecane (Monostyla)	cornuta
		Lecane (Monostyla)	furcata
		Lecane (Monostyla)	galeata
		Lecane (Monostyla)	hamata
		Lecane (Monostyla)	lunaris
		Lecane (Monostyla)	quadridentata
		Lecane (Monostyla)	stenroosi
		Lecane (Monostyla)	subulata
	Proalidae		
		Bryceella	
		Bryceella	stylata
		Bryceella	tenella
		Proalinopsis	
		Proalinopsis	caudatus
		Proalinopsis	squamipes
		Proalinopsis	staurus
		Proales	
		Proales	daphnicola
		Proales	decipiens
		Proales	doliaris
		Proales	fallaciosa
		Proales	giganthea
		Proales	globulifera
		Proales	micropus
		Proales	minima
		Proales	parasita
		Proales	reinhardti
		Proales	similis
		Proales	sordida
		Proales	theodora
		Proales	wernecki
