genus	species
Hydroptila	vectis
Hydrovatus	clypealis
Hydrovatus	cuspidatus
Hydrovolzia	placophora
Hydrozetes	lacustris
Hydrozetes	lemnae
Hydryphantes (Hydryphantes)	bayeri
Hydryphantes (Hydryphantes)	crassipalpis
Hydryphantes (Hydryphantes)	dispar
Hydryphantes (Hydryphantes)	frici
Hydryphantes (Hydryphantes)	placationis
Hydryphantes (Hydryphantes)	ruber
Hydryphantes (Polyhydryphantes)	flexuosus
Hygrobates (Hygrobates)	calliger
Hygrobates (Hygrobates)	fluviatilis
Hygrobates (Hygrobates)	foreli
Hygrobates (Hygrobates)	longipalpis
Hygrobates (Hygrobates)	longiporus
Hygrobates (Hygrobates)	nigromaculatus
Hygrobates (Hygrobates)	trigonicus
Hygrobates (Rivobates)	norvegicus
Hygrobia	hermanni
Hygroplitis	rugulosus
Hygrotus (Coelambus)	confluens
Hygrotus (Coelambus)	impressopunctatus
Hygrotus (Coelambus)	nigrolineatus
Hygrotus (Coelambus)	novemlineatus
Hygrotus (Coelambus)	parallellogrammus
Hygrotus (Hygrotus)	decoratus
Hygrotus (Hygrotus)	inaequalis
Hygrotus (Hygrotus)	quinquelineatus
Hygrotus (Hygrotus)	versicolor
Hypera (Eririnomorphus)	arundinis
Hypera (Eririnomorphus)	pollux
Hypera (Eririnomorphus)	rumicis
Hypera (Hypera)	suspiciosa
Hyphydrus	aubei
Hyphydrus	ovatus
Hypogastrura	viatica
Hypsibius (Calohypsibius)	ornatus
Hypsibius (Diphascon)	angustatus
Hypsibius (Diphascon)	bullatus
Hypsibius (Diphascon)	chilenensis
Hypsibius (Diphascon)	oculatus
Hypsibius (Diphascon)	scoticus
Hypsibius (Diphascon)	spitzbergensis
Hypsibius (Hypsibius)	arcticus
Hypsibius (Hypsibius)	dujardini
Hypsibius (Hypsibius)	oberhaeuseri
Hypsibius (Isohypsibius)	annulatus
Hypsibius (Isohypsibius)	augusti
Hypsibius (Isohypsibius)	papillifer
Hypsibius (Isohypsibius)	prosostomus
Hypsibius (Isohypsibius)	sattleri
Hypsibius (Isohypsibius)	schaudinni
Hypsibius (Isohypsibius)	tetradactyloides
Hypsibius (Isohypsibius)	tuberculatus
Ibisia	marginata
Idiocera (Idiocera)	bradleyi
Idiocera (Idiocera)	punctata
Idiocera (Idiocera)	sexguttata
Idiocera (Idiocera)	sziladyi
Idioptera	linnei
Idioptera	pulchella
Ilione (Ilione)	albiseta
Ilione (Tumidicercus)	lineata
Ilisia	maculata
Ilisia	occoecata
Ilybius	aenescens
Ilybius	ater
Ilybius	chalconatus
Ilybius	chalconatus group
Ilybius	fenestratus
Ilybius	fuliginosus
Ilybius	guttiger
Ilybius	montanus
Ilybius	quadriguttatus
Ilybius	subaeneus
Ilybius	wasastjernae
Ilyocoris	cimicoides
Ilyocryptus 	acutifrons
Ilyocryptus 	agilis
Ilyocryptus 	sordidus
Ilyocypris	biplicata
Ilyocypris	bradyi
Ilyocypris	decipiens
Ilyocypris	getica
Ilyocypris	gibba
Ilyocypris	inermis
Ilyocypris	monstrifica
Ilyodrilus	templetoni
Ironoquia	dubia
Ironus	ignavus
Ironus	tenuicaudatus
Ischnura	elegans
Ischnura	pumilio
Isocypris	beauchampi
Isogenus	nubecula
Isoperla	grammatica
Isoperla	obscura
Isotoma	viridis
Isotomurus	alticolus
Isotomurus	antennalis
Isotomurus	palustris
Ithytrichia	clavata
Ithytrichia	lamellaris
Itura	aurita
Itura	viridis
Jaera	nordmanni
Kageronia	fuscogrisea
Kellicottia	longispina
Keratella	cochlearis
Keratella	cruciformis
Keratella	irregularis
Keratella	quadrata
Keratella	serrulata
Keratella	testudo
Keratella	ticinensis
Keratella	valga
Kiefferulus	tendipediformis
Kleidotoma	halophila
Kleidotoma	subaptera
Kolenohelea	calcarata
Kongsbergia (Kongsbergia)	clypeata
Kongsbergia (Kongsbergia)	largaiollii
Kongsbergia (Kongsbergia)	materna
Kongsbergia (Kongsbergia)	vietsi
Kowarzia	bipunctata
Kowarzia	madicola
Kowarzia	tenella
Krenopelopia	binotata
Krenopelopia	group
Krenopelopia	nigropunctata
Krenosmittia	boreoalpina
Krenosmittia	camptophleps
Kurzia 	latissima
Labiobaetis	atrebatinus
Labrundinia	longipalpis
Laccobius (Dimorpholaccobius)	atratus
Laccobius (Dimorpholaccobius)	bipunctatus
Laccobius (Dimorpholaccobius)	simulatrix
Laccobius (Dimorpholaccobius)	sinuatus
Laccobius (Dimorpholaccobius)	striatulus
Laccobius (Dimorpholaccobius)	ytenensis
Laccobius (Laccobius)	colon
Laccobius (Laccobius)	minutus
Laccophilus	hyalinus
Laccophilus	minutus
Laccophilus	poecilus
Laccornis	oblongus
Lacinularia	flosculosa
Larsia	atrocincta
Larsia	curticalcar
Lasiocephala	basalis
Lasiodiamesa	sphagnicola
Lathonura 	rectirostris
Latona 	setifera
Lauterborniella	agrayloides
Lebertia (Hexalebertia)	dubia
Lebertia (Hexalebertia)	novipalpis
Lebertia (Hexalebertia)	sefvei
Lebertia (Hexalebertia)	stigmatifera
Lebertia (Lebertia)	africana
Lebertia (Lebertia)	areolata
Lebertia (Lebertia)	brunnea
Lebertia (Lebertia)	castalia
Lebertia (Lebertia)	cognata
Lebertia (Lebertia)	compacta
Lebertia (Lebertia)	dalmatica
Lebertia (Lebertia)	fimbriata
Lebertia (Lebertia)	flumenia
Lebertia (Lebertia)	hirtipalpis
Lebertia (Lebertia)	laticoxalis
Lebertia (Lebertia)	maglioi
Lebertia (Lebertia)	minuta
Lebertia (Lebertia)	rufipes
Lebertia (Lebertia)	sparsicapillata
Lebertia (Lebertia)	tenuipalpis
Lebertia (Lebertia)	tenuistriata
Lebertia (Mixolebertia)	densa
Lebertia (Mixolebertia)	halberti
Lebertia (Mixolebertia)	oudemansi
Lebertia (Pilolebertia)	crassipalpis
Lebertia (Pilolebertia)	curvipalpis
Lebertia (Pilolebertia)	inaequalis
Lebertia (Pilolebertia)	insignis
Lebertia (Pilolebertia)	minuticornis
Lebertia (Pilolebertia)	plauta
Lebertia (Pilolebertia)	porosa
Lebertia (Pseudolebertia)	glabra
Lebertia (Pseudolebertia)	mollis
Lebertia (Pseudolebertia)	salebrosa
Lecane (Hemimonostyla)	agilis
Lecane (Lecane)	aquila
Lecane (Lecane)	brachydactyla
Lecane (Lecane)	clara
Lecane (Lecane)	flexilis
Lecane (Lecane)	hornemanni
Lecane (Lecane)	inermis
Lecane (Lecane)	levistyla
Lecane (Lecane)	ligona
Lecane (Lecane)	ludwigi
Lecane (Lecane)	luna
Lecane (Lecane)	pumila
Lecane (Lecane)	signifera
Lecane (Lecane)	stichaea
Lecane (Lecane)	stokesi
Lecane (Lecane)	sulcata
Lecane (Lecane)	ungulata
Lecane (Monostyla)	acus
Lecane (Monostyla)	arcuata
Lecane (Monostyla)	bifurca
Lecane (Monostyla)	bulla
Lecane (Monostyla)	closterocerca
Lecane (Monostyla)	cornuta
Lecane (Monostyla)	furcata
Lecane (Monostyla)	galeata
Lecane (Monostyla)	hamata
Lecane (Monostyla)	lunaris
Lecane (Monostyla)	quadridentata
Lecane (Monostyla)	stenroosi
Lecane (Monostyla)	subulata
Leiostyla	anglica
Lejogaster	metallina
Lejogaster	tarsata
Lejops	vittata
Lepadella (Heterolepadella)	ehrenbergi
Lepadella (Lepadella)	acuminata
Lepadella (Lepadella)	cristata
Lepadella (Lepadella)	minuta
Lepadella (Lepadella)	ovalis
Lepadella (Lepadella)	patella
Lepadella (Lepadella)	pterygoides
Lepadella (Lepadella)	rhomboides
Lepadella (Lepadella)	triptera
Lepeophtheirus	salmonis
Lepidostoma	hirtum
Leptocaris	brevicornis
Leptocerus	interruptus
Leptocerus	lusitanicus
Leptocerus	tineiformis
Leptodora 	kindti
Leptophlebia	marginata
Leptophlebia	vespertina
Lernaea	cyprinacea
Lestes	barbarus
Lestes	dryas
Lestes	sponsa
Lestes	viridis
Lethaxona (Lethaxona)	cavifrons
Leucophytia	bidentata
Leucorrhinia	dubia
Leuctra	fusca
Leuctra	geniculata
Leuctra	hippopus
Leuctra	inermis
Leuctra	moselyi
Leuctra	nigra
Leydigia 	acanthocercoides
Leydigia 	leydigi
Liancalus	virens
Libellula	depressa
Libellula	fulva
Libellula	quadrimaculata
Limnebius	aluta
Limnebius	crinifer
Limnebius	nitidus
Limnebius	papposus
Limnebius	truncatellus
Limnephilus	affinis
Limnephilus	affinis group
Limnephilus	auricula
Limnephilus	binotatus
Limnephilus	bipunctatus
Limnephilus	borealis
Limnephilus	centralis
Limnephilus	coenosus
Limnephilus	decipiens
Limnephilus	elegans
Limnephilus	extricatus
Limnephilus	flavicornis
Limnephilus	flavicornis group
Limnephilus	fuscicornis
Limnephilus	fuscinervis
Limnephilus	griseus
Limnephilus	hirsutus
Limnephilus	ignavus
Limnephilus	incisus
Limnephilus	lunatus
Limnephilus	luridus
Limnephilus	marmoratus
Limnephilus	nigriceps
Limnephilus	pati
Limnephilus	politus
Limnephilus	rhombicus
Limnephilus	sparsus
Limnephilus	stigma
Limnephilus	subcentralis
Limnephilus	tauricus
Limnephilus	vittatus
Limnesia (Limnesia)	connata
Limnesia (Limnesia)	fulgida
Limnesia (Limnesia)	koenikei
Limnesia (Limnesia)	maculata
Limnesia (Limnesia)	undulata
Limnia	paludicola
Limnia	unguicornis
Limnias	ceratophylli
Limnias	cornuella
Limnias	melicerta
Limnias	myriophylli
Limnichus	pygmaeus
Limnius	volckmari
Limnobaris	dolorosa
Limnobaris	t-album
Limnocalanus	macrurus
Limnochares	aquatica
Limnocythere	inopinata
Limnocythere	sancti-patricii
Limnodrilus	cervix
Limnodrilus	claparedianus
Limnodrilus	hoffmeisteri
Limnodrilus	profundicola
Limnodrilus	udekemianus
Limnohalacarus	wackeri
Limnophila	group
Limnophila (Limnophila)	pictipennis
Limnophila (Limnophila)	schranki
Limnophora	riparia
Limnophyes	angelicae
Limnophyes	asquamatus
Limnophyes	brachytomus
Limnophyes	difficilis
Limnophyes	edwardsi
Limnophyes	gurgicola
Limnophyes	habilis
Limnophyes	minimus
Limnophyes	natalensis
Limnophyes	ninae
Limnophyes	paludis
Limnophyes	pentaplastus
Limnophyes	pumilio
Limnophyes	punctipennis
Limnophyes	spinigus
Limnoporus	rufoscutellatus
Limnoxenus	niger
Limonia	dilutior
Limonia	flavipes
Limonia	group
Limonia	macrostigma
Limonia	maculipennis
Limonia	masoni
Limonia	nigropunctata
Limonia	nubeculosa
Limonia	phragmitidis
Limonia	stigma
Limonia	trivittata
Lindia	janickii
Lindia	torulosa
Liopterus	haemorrhoidalis
Lipsothrix	ecucullata
Lipsothrix	errans
Lipsothrix	nervosa
Lipsothrix	nobilis
Lipsothrix	remota
Lispe	caesia
Lispe	consanguinea
Lispe	pygmaea
Lispe	tentaculata
Lispe	uliginosa
Litus	cynipseus
Lixus (Lixus)	paraplecticus
Ljania	bipapillata
Lobohalacarus	gallicus
Lobohalacarus	weberi
Lophocharis	oxysternon
Lophocharis	salpina
Lophopus	crystallinus
Lumbricillus	arenarius
Lumbricillus	lineatus
Lumbricillus	pagenstecheri
Lumbricillus	rivalis
Lumbriculus	group
Lumbriculus	variegatus
Lumbricus	rubellus
Lymnaea	group
Lymnaea	stagnalis
Lype	phaeopa
Lype	reducta
Machaerium	maritimae
Macrobiotus	ambiguus
Macrobiotus	areolatus
Macrobiotus	dispar
Macrobiotus	echinogenitus
Macrobiotus	hastatus
Macrobiotus	hufelandii
Macrobiotus	intermedius
Macrobiotus	macronyx
Macrobiotus	occidentalis
Macrobiotus	pullari
Macrobiotus	richtersi
Macrochaetus	collinsi
Macrochaetus	subquadratus
Macrocyclops	albidus
Macrocyclops	distinctus
Macrocyclops	fuscus
Macronychus	quadrituberculatus
Macropelopia	adaucta
Macropelopia	nebulosa
Macropelopia	notata
Macroplea	appendiculata
Macroplea	mutica
Macrostomum	distinguendum
Macrostomum	johni
Macrostomum	rostratum
Macrothrix 	hirsuticornis
Macrothrix 	laticornis
Macrothrix 	rosea
Macrotrachela	aculeata
Macrotrachela	angusta
Macrotrachela	asperula
Macrotrachela	bilfingeri
Macrotrachela	bullata
Macrotrachela	concinna
Macrotrachela	crucicornis
Macrotrachela	decora
Macrotrachela	ehrenbergi
Macrotrachela	fungicola
Macrotrachela	habita
Macrotrachela	multispinosa
Macrotrachela	muricata
Macrotrachela	musculosa
Macrotrachela	nana
Macrotrachela	natans
Macrotrachela	ornata
Macrotrachela	papillosa
Macrotrachela	plicata
Macrotrachela	quadricornifera
Macrotrachela	vesicularis
Mallochohelea	inermis
Mallochohelea	munda
Mallochohelea	nitida
Mallochohelea	setigera
Mallota	cimbiciformis
Manayunkia	aestuarina
Maraenobiotus	vejdovskyi
Margaritifera	margaritifera
Marionina	appendiculata
Marionina	spicula
Marstoniopsis	insubrica
Mecinus	collaris
Megacyclops	gigas
Megacyclops	latipes
Megacyclops	viridis
Megafenestra 	aurita
Megasternum	concinnum
Melampophylax	mucoreus
Melanogaster	aerosa
Melanogaster	hirtella
Menetus (Dilatata)	dilatatus
Mercuria	anatina
Mesenchytraeus	armatus
Mesenchytraeus	sanguineus
Mesochra	aestuarii
Mesochra	lilljeborgi
Mesochra	rapiens
Mesocyclops	leuckarti
Mesodorylaimus	bastiani
Mesodorylaimus	filiformis
Mesodorylaimus	tenuicaudatus
Mesophylax	aspersus
Mesophylax	impunctatus
Mesosmittia	flexuella
Mesostoma	ehrenbergii
Mesostoma	lingua
Mesostoma	productum
Mesostoma	tetragonum
Mesovelia	furcata
Mestocharis	bimacularis
Metacnephia	amphora
Metacyclops	gracilis
Metacyclops	minutus
Metacypris	cordata
Metadiaschiza	trigona
Metalimnobia (Metalimnobia)	bifasciata
Metalimnobia (Metalimnobia)	quadrimaculata
Metalimnobia (Metalimnobia)	quadrinotata
Metalype	fragilis
Metriocnemus	albolineatus
Metriocnemus	atriclavus
Metriocnemus	beringiensis
Metriocnemus	cavicola
Metriocnemus	eurynotus
Metriocnemus	fuscipes
Metriocnemus	group
Metriocnemus	picipes
Metriocnemus	terrester
Metriocnemus	tristellus
Metriocnemus	ursinus
Microarthridion	littorale
Microcara	testacea
Microchironomus	deribae
Microchironomus	tener
Micrococides	chlaena
Micrococides	robustus
Microcodon	clavus
Microcyclops	rubellus
Microcyclops	varicans
Microdalyellia	armigera
Microdalyellia	brevimana
Microdalyellia	fairchildi
Microdalyellia	kupelwieseri
Microdalyellia	schmidti
Micronecta (Dichaetonecta)	scholtzi
Micronecta (Micronecta)	griseola
Micronecta (Micronecta)	minutissima
Micronecta (Micronecta)	poweri
Microniphargus	leruthi
Microprosopa	pallidicauda
Micropsectra	apposita
Micropsectra	aristata
Micropsectra	atrofasciata
Micropsectra	attenuata
Micropsectra	bidentata
Micropsectra	contracta
Micropsectra	fusca
Micropsectra	groenlandica
Micropsectra	group
Micropsectra	junci
Micropsectra	lindebergi
Micropsectra	lindrothi
Micropsectra	notescens
Micropsectra	radialis
Micropsectra	recurvata
Micropsectra	subnitens
Micropterna	group
Micropterna	lateralis
Micropterna	sequax
Microstomum	lineare
Microtendipes	britteni
Microtendipes	chloris
Microtendipes	confinis
Microtendipes	diffinis
Microtendipes	nitidus
Microtendipes	pedellus
Microtendipes	rydalensis
Microtendipes	rydalensis group
Microtendipes	tarsalis
Microvelia	buenoi
Microvelia	pygmaea
Microvelia	reticulata
Midea	orbiculata
Mideopsis (Mideopsis)	crassipes
Mideopsis (Mideopsis)	orbicularis
Mideopsis (Xystonotus)	willmanni
Milnesium	tardigradum
Mixodiaptomus	laciniatus
Mniobia	armata
Mniobia	circinata
Mniobia	incrassata
Mniobia	magna
Mniobia	russeola
Mniobia	scarlatina
Mniobia	symbiotica
Mniobia	tetraodon
Mochlonyx	fuliginosus
Mochlonyx	velutinus
Moina 	brachiata
Moina 	macrocopa
Moina 	micrura
Molanna	albicans
Molanna	angustata
Molophilus (Molophilus)	appendiculatus
Molophilus (Molophilus)	ater
Molophilus (Molophilus)	bifidus
Molophilus (Molophilus)	bihamatus
Molophilus (Molophilus)	cinereifrons
Molophilus (Molophilus)	corniger
Molophilus (Molophilus)	crassipygus
Molophilus (Molophilus)	curvatus
Molophilus (Molophilus)	czizeki
Molophilus (Molophilus)	flavus
Molophilus (Molophilus)	griseus
Molophilus (Molophilus)	lackschewitzianus
Molophilus (Molophilus)	medius
Molophilus (Molophilus)	niger
Molophilus (Molophilus)	obscurus
Molophilus (Molophilus)	occultus
Molophilus (Molophilus)	ochraceus
Molophilus (Molophilus)	pleuralis
Molophilus (Molophilus)	propinquus
Molophilus (Molophilus)	pusillus
Molophilus (Molophilus)	serpentiger
Molophilus (Molophilus)	undulatus
Molophilus (Molophilus)	variispinus
Momonia (Momonia)	falcipalpis
Monhystera	dispar
Monhystera	dubius
Monhystera	filiformis
Monhystera	longicaudata
Monhystera	paludicola
Monhystera	similis
Monhystera	simplex
Monhystera	stagnalis
Monhystera	villosa
Monhystera	vulgaris
Monochoides	fictor
Monodiamesa	bathyphila
Monodiamesa	ekmani
Monommata	actices
Monommata	aequalis
Monommata	astia
Monommata	grandis
Monommata	longiseta
Mononchus	papillatus
Mononchus	truncatus
Mononchus	tunbridgensis
Mononychus	punctumalbum
Monopelopia	tenuicalcar
Monopylephorus	irroratus
Monopylephorus	rubroniveus
Monospilus 	dispar
Moraria	arboricola
Moraria	brevipes
Moraria	duthiei
Moraria	mrazeki
Moraria	poppei
Moraria	sphagnicola
Moraria	varica
Mormia	andrenipes
Mormia	caliginosa
Mormia	eatoni
Mormia	furva
Mormia	incerta
Mormia	palposa
Mormia	revisenda
Mormia	satchelli
Muceddina	multispinosa
Mundamella	germanica
Musculium	lacustre
Musculium	transversum
Myathropa	florea
Mysis	relicta
Mystacides	azurea
Mystacides	longicornis
Mystacides	nigra
Mytilina	compressa
Mytilina	crassipes
Mytilina	mucronata
Mytilina	mutica
Mytilina	trigona
Mytilina	unguipes
Mytilina	ventralis
Mytilopsis	leucophaeata
Myxas	glutinosa
Nais	alpina
Nais	barbata
Nais	bretscheri
Nais	christinae
Nais	communis
Nais	communis group
Nais	elinguis
Nais	pardalis
Nais	pseudobtusa
Nais	simplex
Nais	simplex group
Nais	variabilis
Nannopus	palustris
Nanocladius	balticus
Nanocladius	dichromus
Nanocladius	rectinervis
Natarsia	nugax
Natarsia	punctata
Naucoris	maculatus
Nautarachna (Nautarachna)	crassa
Nautarachna (Pionella)	karamani
Nebrioporus	depressus group
Nebrioporus (Nebrioporus)	assimilis
Nebrioporus (Nebrioporus)	depressus
Nebrioporus (Nebrioporus)	elegans
Nebrioporus (Zimmermannius)	canaliculatus
Nemotaulius	punctatolineatus
Nemotelus (Camptopelma)	nigrinus
Nemotelus (Nemotelus)	notatus
Nemotelus (Nemotelus)	pantherinus
Nemotelus (Nemotelus)	uliginosus
Nemoura	avicularis
Nemoura	cambrica
Nemoura	cambrica group
Nemoura	cinerea
Nemoura	dubitans
Nemoura	erratica
Nemurella	pictetii
Neoacarus	hibernicus
Neoascia (Neoascia)	podagrica
Neoascia (Neoascia)	tenur
Neoascia (Neoasciella)	geniculata
Neoascia (Neoasciella)	interrupta
Neoascia (Neoasciella)	meticulosa
Neoascia (Neoasciella)	obliqua
Neoergasilus	japonicus
Neogossea	antennigera
Neolimnomyia (Brachylimnophila)	adjuncta
Neolimnomyia (Brachylimnophila)	nemoralis
Neolimnomyia (Neolimnomyia)	batava
Neolimnomyia (Neolimnomyia)	filata
Neolimnophila	carteri
Neolimnophila	placida
Neolimonia	dumetorum
Neomysis	integer
Neophytobius	muricatus
Neophytobius	quadrinodosus
Neozavrelia	fuldensis
Neozavrelia	longappendiculata
Neozavrelia	luteola
Nepa	cinerea
Nephrotoma	analis
Nephrotoma	cornicina
Nephrotoma	crocata
Nephrotoma	quadrifaria
Nereis	diversicolor
Neumania (Neumania)	callosa
Neumania (Neumania)	deltoides
Neumania (Neumania)	limosa
Neumania (Neumania)	spinipes
Neumania (Neumania)	vernalis
Neumania (Soarella)	papillosa
Neureclipsis	bimaculata
Neurohelea	luteitarsis
Nigrobaetis	digitatus
Nigrobaetis	niger
Nigrotipula	nigra
Nilotanypus	dubius
Nilothauma	brayi
Nilotonia (Dartia)	harrisi
Niphargus	aquilex
Niphargus	fontanus
Niphargus	glenniei
Niphargus	kochianus
Niphargus	wexfordensis
Nitokra	hibernica
Nitokra	lacustris
Nitokra	spinipes
Nitokra	typica
Normandia	nitens
Notaris	acridulus
Notaris	aethiops
Notaris	group
Notaris	scirpi
Noterus	clavicornis
Noterus	crassicornis
Notholca	acuminata
Notholca	bipalium
Notholca	cinetura
Notholca	foliacea
Notholca	labis
Notholca	squamula
Notholca	striata
Notidobia	ciliaris
Notiphila (Acrolimna)	uliginosa
Notiphila (Acrolimna)	venusta
Notiphila (Dichaeta)	caudata
Notiphila (Notiphila)	annulipes
Notiphila (Notiphila)	brunipes
Notiphila (Notiphila)	cinerea
Notiphila (Notiphila)	dorsata
Notiphila (Notiphila)	guttiventris
Notiphila (Notiphila)	maculata
Notiphila (Notiphila)	nigricornis
Notiphila (Notiphila)	nubila
Notiphila (Notiphila)	riparia
Notiphila (Notiphila)	stagnicola
Notiphila (Notiphila)	subnigra
Notiphila (Notiphila)	umbrosa
Notodromas	monacha
Notommata	allantois
Notommata	aurita
Notommata	brachyota
Notommata	cerberus
Notommata	collaris
Notommata	contorta
Notommata	copeus
Notommata	cyrtopus
Notommata	groenlandica
Notommata	pachyura
Notommata	pseudocerberus
Notommata	saccigera
Notommata	silpha
Notommata	tripus
Notonecta	glauca
Notonecta	maculata
Notonecta	obliqua
Notonecta	viridis
Nymphula	group
Nymphula	stagnata
Ochlerotatus (Finlaya)	geniculatus
Ochlerotatus (Ochlerotatus)	annulipes
Ochlerotatus (Ochlerotatus)	cantans
Ochlerotatus (Ochlerotatus)	caspius
Ochlerotatus (Ochlerotatus)	communis
Ochlerotatus (Ochlerotatus)	detritus
Ochlerotatus (Ochlerotatus)	dorsalis
Ochlerotatus (Ochlerotatus)	flavescens
Ochlerotatus (Ochlerotatus)	leucomelas
Ochlerotatus (Ochlerotatus)	punctor
Ochlerotatus (Ochlerotatus)	sticticus
Ochlerotatus (Rusticoides)	rusticus
Ochthebius	group
Ochthebius (Asiobates)	auriculatus
Ochthebius (Asiobates)	bicolon
Ochthebius (Asiobates)	dilatatus
Ochthebius (Homalochthebius)	aeneus
Ochthebius (Homalochthebius)	lejolisii
Ochthebius (Homalochthebius)	minimus
Ochthebius (Hymenodes)	nanus
Ochthebius (Hymenodes)	poweri
Ochthebius (Hymenodes)	punctatus
Ochthebius (Ochthebius)	lenensis
Ochthebius (Ochthebius)	marinus
Ochthebius (Ochthebius)	pusillus
Ochthebius (Ochthebius)	viridis
Ochthera	manicata
Ochthera	mantis
Ochthera	schembrii
Octolasion	cyaneum
Octolasion	lacteum
Odeles	marginata
Odontocerum	albicorne
Odontomesa	fulva
Odontomyia	angulata
Odontomyia	argentata
Odontomyia	group
Odontomyia	hydroleon
Odontomyia	ornata
Odontomyia	tigrina
Oecetis	furva
Oecetis	lacustris
Oecetis	notata
Oecetis	ochracea
Oecetis	testacea
Oligotricha	striata
Olisthanella	obtusa
Omisus	caledonicus
Omphiscola	glabra
Onychocamptus	mohammed
Ophidonais	serpentina
Ophryoxus 	gracilis
Opisthocystis	goettei
Opistomum	pallidum
Oplodontha	viridula
Orchestia	cavimana
Orconectes	limosus
Orectochilus	villosus
Oreodytes	alpinus
Oreodytes	davisii
Oreodytes	sanmarkii
Oreodytes	septentrionalis
Orimarga	attenuata
Orimarga	juvenilis
Orimarga	virgo
Ormosia	group
Ormosia (Ormosia)	aciculata
Ormosia (Ormosia)	albitibia
Ormosia (Ormosia)	bicornis
Ormosia (Ormosia)	depilata
Ormosia (Ormosia)	fascipennis
Ormosia (Ormosia)	hederae
Ormosia (Ormosia)	lineata
Ormosia (Ormosia)	nodulosa
Ormosia (Ormosia)	pseudosimilis
Ormosia (Ormosia)	staegeriana
Orthetrum	cancellatum
Orthetrum	coerulescens
Orthoceratium	lacustre
Orthocladius (Eudactylocladius)	fuscimanus
Orthocladius (Eudactylocladius)	gelidus
Orthocladius (Eudactylocladius)	olivaceus
Orthocladius (Euorthocladius)	ashei
Orthocladius (Euorthocladius)	calvus
Orthocladius (Euorthocladius)	rivicola
Orthocladius (Euorthocladius)	rivulorum
Orthocladius (Euorthocladius)	thienemanni
Orthocladius (Orthocladius)	dentifer
Orthocladius (Orthocladius)	frigidus
Orthocladius (Orthocladius)	glabripennis
Orthocladius (Orthocladius)	holsatus
Orthocladius (Orthocladius)	maius
Orthocladius (Orthocladius)	oblidens
Orthocladius (Orthocladius)	obumbratus
Orthocladius (Orthocladius)	pedestris
Orthocladius (Orthocladius)	rivinus
Orthocladius (Orthocladius)	rubicundus
Orthocladius (Orthocladius)	ruffoi
Orthocladius (Orthocladius)	wetterensis
Orthocladius (Pogonocladius)	consobrinus
Orthocladius (Symposiocladius)	lignicola
Orthonevra	brevicornis
Orthonevra	geniculata
Orthonevra	nobilis
Orthopodomyia	pulcripalpis
Orthotrichia	angustella
Orthotrichia	costalis
Orthotrichia	tragetti
Osmylus	fulvicephalus
Otomesostoma	auditivum
Otostephanus	torquatus
Oulimnius	major
Oulimnius	rivularis
Oulimnius	troglodytes
Oulimnius	tuberculatus
Ovatella	myosotis
Oxus (Gnaphiscus)	setosus
Oxus (Oxus)	nodigerus
Oxus (Oxus)	ovalis
Oxus (Oxus)	strigatus
Oxycera	analis
Oxycera	dives
Oxycera	fallenii
Oxycera	leonina
Oxycera	morrisii
Oxycera	nigricornis
Oxycera	pardalina
Oxycera	pygmaea
Oxycera	rara
Oxycera	terminata
Oxycera	trilineata
Oxyethira	distinctella
Oxyethira	falcata
Oxyethira	flavicornis
Oxyethira	frici
Oxyethira	mirabilis
Oxyethira	sagittifera
Oxyethira	simplex
Oxyethira	tristella
Oxygastra	curtisii
Oxyloma (Oxyloma)	pfeifferi
Oxyloma (Oxyloma)	sarsii
Oxyurella 	tenuicaudis
Pachyotoma	crassicauda
Pacifastacus	leniusculus
Pagastiella	orophila
Palaemon	longirostris
Palaemonetes	varians
Palpomyia	armipes
Palpomyia	brachialis
Palpomyia	brevicornis
Palpomyia	distincta
Palpomyia	flavipes
Palpomyia	grossipes
Palpomyia	lineata
Palpomyia	luteifemorata
Palpomyia	nigripes
Palpomyia	praeusta
Palpomyia	pubescens
Palpomyia	quadrispinosa
Palpomyia	semifumosa
Palpomyia	serripes
Palpomyia	spinipes
Palpomyia	tibialis
Paludicella	articulata
Panagrolaimus	rigidus
Panagrolaimus	salinus
Panimerus	albifacies
Panimerus	denticulatus
Panimerus	goetghebueri
Panimerus	goodi
Panimerus	maynei
Panimerus	notabilis
Panisellus	thienemanni
Panisopsis (Panisopsis)	vigilans
Panisus	michaeli
Panisus	torrenticolus
Pantala	flavescens
Paraboreochlus	minutissimus
Paracamptus	schmeili
Paracandona	euplectella
Parachironomus	arcuatus
Parachironomus	biannulatus
Parachironomus	digitalis
Parachironomus	frequens
Parachironomus	mauricii
Parachironomus	monochromus
Parachironomus	parilis
Parachironomus	subalpinus
Parachironomus	swammerdami
Parachironomus	tenuicaudatus
Parachironomus	varus
Parachironomus	vitiosus
Parachordodes	pustulosus
Paracladius	conversus
Paracladopelma	camptolabis
Paracladopelma	laminatum
Paracladopelma	nigritulum
Paracoenia	fumosa
Paracolurella	pertyi
Paracorixa	concinna
Paracricotopus	niger
Paracyclops	affinis
Paracyclops	chiltoni
Paracyclops	fimbriatus
Paracyclops	poppei
Paracymus	aeneus
Paracymus	scutellaris
Paradelphomyia (Oxyrhiza)	dalei
Paradelphomyia (Oxyrhiza)	ecalcarata
Paradelphomyia (Oxyrhiza)	fuscula
